203,101,0.29
305,102,-0.01
407,101,-0.23
508,101,-1.31
611,102,-1.56
712,100,1.42
815,102,-2.23
916,100,-2.18
1018,101,-0.93
1120,101,0.00
1222,101,0.67
1325,102,0.83
1426,101,1.02
1528,101,3.30
1630,102,6.63
1732,101,11.26
1833,100,13.91
1936,101,15.41
2037,100,17.65
2140,102,19.37
2241,100,19.50
2343,101,18.36
2445,101,14.93
2547,101,8.81
2649,101,6.52
2751,101,10.58
2853,101,14.74
2955,102,14.24
3057,101,14.30
3159,101,12.62
3261,101,12.46
3362,100,13.75
3465,102,11.26
3566,100,8.19
3668,101,6.63
3770,100,6.68
3872,101,7.29
3974,101,5.79
4076,101,5.45
4177,100,4.50
4280,102,2.98
4382,101,1.90
4484,102,0.74
4586,101,-0.49
4687,101,0.81
4790,102,3.28
4891,100,3.00
4994,102,2.83
5095,100,2.28
5197,101,2.66
5299,101,1.53
5401,101,0.51
5502,100,0.94
5605,101,1.42
5706,100,-0.10
5809,102,-1.70
5911,101,-2.83
6012,101,-4.71
6115,102,-5.42
6216,101,-4.79
6319,102,-4.69
6420,100,-4.18
6522,101,-8.57
6624,101,-10.68
6726,101,-8.46
6828,101,-8.81
6930,101,-8.85
7031,100,-9.00
7134,102,-8.88
7236,101,-8.56
7337,101,-8.65
7440,101,-8.63
7541,101,-8.63
7644,102,-8.37
7745,100,-8.85
7847,101,-9.12
7949,101,-8.80
8051,101,-8.71
8153,101,-9.29
8255,101,-9.07
8356,100,-8.52
8459,102,-9.01
8561,101,-8.92
8663,102,-8.08
8765,101,-7.71
8866,101,-7.56
8969,102,-7.67
9070,100,-7.49
9172,101,-6.78
9274,100,-6.77
9376,101,-7.23
9478,101,-6.90
9580,101,-6.69
9681,100,-6.74
9784,102,-6.74
9885,100,-6.54
9988,102,-6.35
10090,101,-6.48
10191,101,-6.02
10294,102,-5.62
10395,100,-5.30
10498,102,-5.26
10599,100,-4.86
10701,101,-4.85
10803,101,-5.12
10905,101,-5.05
11006,100,-4.89
11109,101,-4.92
11210,100,-4.77
11313,102,-4.74
11414,100,-4.44
11516,101,-3.90
11619,102,-3.62
11720,101,-3.56
11823,102,-3.46
11924,100,-3.43
12026,101,-3.33
12128,101,-3.35
12230,101,-3.44
12332,101,-3.51
12434,101,-3.72
12535,100,-3.79
12638,102,-3.58
12739,100,-3.55
12841,101,-3.50
12944,101,-3.71
13045,101,-3.74
13148,102,-3.61
13249,100,-3.85
13351,101,-3.70
13453,101,-3.60
13555,101,-3.61
13657,101,-3.92
13759,101,-3.82
13860,100,-4.13
13963,102,-4.31
14064,100,-4.10
14167,102,-4.46
14269,101,-5.40
14370,101,-6.39
14473,102,-4.64
14574,100,-3.66
14676,101,-4.81
14778,100,-6.15
14880,101,-6.96
14982,101,-7.65
15084,101,-7.56
15185,100,-6.67
15288,102,-7.00
15389,100,-7.79
15492,102,-7.20
15594,101,-6.05
15695,101,-4.84
15798,102,-5.16
15899,101,-5.53
16002,102,-5.30
16103,100,-6.78
16205,101,-8.34
16307,101,-9.47
16409,101,-9.87
16510,100,-9.39
16613,101,-7.12
16714,100,-6.30
16817,102,-4.51
16918,100,-4.01
17020,101,-7.32
17123,102,-9.13
17224,101,-7.27
17327,102,-5.64
17428,100,-5.65
17530,101,-5.63
17632,101,-5.10
17734,101,-4.65
17836,101,-5.09
17938,101,-5.69
18039,100,-7.93
18142,102,-9.51
18243,100,-11.21
18345,101,-13.03
18447,100,-13.39
18549,101,-13.45
18652,102,-14.63
18753,100,-13.93
18855,101,-10.07
18957,101,-7.45
19059,101,-7.05
19161,101,-7.57
19263,101,-7.07
19364,100,-7.17
19467,102,-7.54
19568,100,-9.70
19671,102,-11.89
19772,100,-12.98
19874,101,-15.36
19977,102,-14.81
20078,101,-13.66
20180,101,-14.63
20282,100,-13.43
20384,101,-8.24
20486,101,-6.13
20588,101,-6.23
20689,100,-7.18
20792,102,-7.04
20893,100,-7.68
20996,102,-8.32
21097,100,-8.71
21199,101,-10.25
21301,101,-11.93
21403,101,-12.82
21506,102,-13.59
21607,100,-13.63
21709,101,-13.50
21811,101,-11.72
21913,101,-12.24
22014,100,-13.25
22117,101,-11.27
22218,100,-8.21
22321,102,-7.69
22422,100,-8.77
22524,101,-8.14
22626,101,-8.11
22728,101,-8.83
22830,101,-9.38
22932,101,-10.59
23034,101,-12.22
23136,101,-12.55
23238,101,-13.06
23340,101,-11.88
23442,101,-13.25
23543,100,-12.27
23646,102,-13.71
23747,100,-14.15
23849,101,-10.08
23951,100,-7.41
24053,101,-7.21
24155,101,-8.48
24257,101,-7.67
24359,101,-7.37
24461,102,-8.28
24563,101,-9.31
24665,102,-9.80
24767,101,-11.14
24868,100,-11.55
24971,102,-12.54
25072,100,-11.16
25175,102,-12.18
25276,100,-12.61
25378,101,-11.72
25480,101,-12.91
25582,101,-11.09
25683,100,-7.62
25786,102,-7.40
25888,101,-7.51
25990,102,-7.60
26092,101,-7.37
26193,100,-7.38
26296,102,-8.14
26397,100,-9.12
26500,102,-10.83
26601,100,-11.56
26703,101,-12.39
26805,101,-11.36
26907,101,-12.32
27009,101,-13.52
27111,101,-11.44
27212,100,-11.86
27315,102,-9.67
27417,101,-7.26
27518,101,-7.11
27621,101,-6.54
27722,101,-6.08
27825,102,-6.85
27926,100,-8.00
28028,101,-9.20
28130,101,-10.49
28232,101,-11.40
28334,101,-11.80
28436,101,-11.17
28537,100,-11.56
28640,102,-11.93
28741,100,-12.12
28844,102,-12.57
28945,100,-10.70
29047,101,-7.45
29150,102,-6.20
29251,101,-6.26
29353,101,-6.44
29455,100,-6.24
29557,101,-7.71
29659,101,-8.70
29761,101,-10.22
29862,100,-11.17
29965,102,-11.78
30066,100,-11.44
30169,102,-12.08
30270,100,-12.47
30372,101,-9.42
30474,101,-8.15
30576,101,-9.26
30679,102,-10.36
30780,100,-7.54
30882,101,-6.51
30984,101,-6.46
31086,101,-6.52
31187,100,-6.46
31290,102,-7.69
31391,100,-8.26
31494,102,-8.21
31595,100,-8.80
31697,101,-9.57
31799,101,-10.36
31901,101,-10.81
32003,101,-10.27
32105,101,-10.25
32207,101,-10.24
32309,102,-9.80
32411,101,-9.01
32513,102,-9.76
32615,101,1.93
32716,100,-6.19
32819,102,-6.78
32920,100,-8.38
33022,101,-9.45
33124,100,-9.55
33226,101,-10.00
33328,101,-9.81
