203,101,-0.04
305,101,-0.15
407,101,-0.12
508,100,-0.01
611,102,-0.03
713,101,-0.01
815,102,0.16
917,101,-0.03
1018,100,0.01
1121,102,-0.03
1223,101,-0.08
1325,102,-0.01
1427,101,-0.02
1528,100,0.03
1631,102,-0.02
1732,100,0.08
1835,102,-0.00
1937,101,0.02
2038,100,0.05
2141,102,-0.28
2242,100,-0.39
2344,101,-0.11
2447,102,0.23
2548,101,0.52
2651,102,0.82
2752,100,0.97
2854,101,1.14
2957,102,1.32
3058,101,0.99
3161,102,0.80
3262,100,0.87
3364,101,0.47
3467,102,0.48
3568,101,0.48
3671,102,1.10
3772,100,1.36
3874,101,1.15
3976,101,1.35
4078,101,1.01
4180,101,1.00
4282,102,0.85
4384,101,0.68
4486,101,0.63
4588,101,0.43
4690,101,0.21
4792,102,0.12
4894,101,0.16
4996,101,0.20
5098,101,0.19
5200,101,0.03
5302,102,0.11
5404,101,0.07
5506,101,0.09
5608,101,0.15
5709,100,0.10
5812,102,0.02
5914,101,0.11
6016,102,0.23
6118,101,0.11
6219,100,0.19
6322,102,0.19
6424,101,0.13
6525,101,0.10
6628,102,0.17
6729,100,0.03
6832,102,0.06
6934,101,0.08
7035,101,0.19
7138,102,0.17
7239,100,0.09
7342,102,-0.06
7443,100,0.08
7545,101,0.08
7648,102,0.08
7749,101,0.01
7852,102,0.20
7953,100,0.06
8055,101,0.03
8158,102,0.18
8259,101,0.13
8361,101,0.24
8463,100,0.20
8565,101,0.06
8668,102,0.18
8769,101,0.08
8871,101,0.11
8973,101,0.14
9075,101,0.11
9177,101,0.10
9279,101,0.11
9381,101,0.11
9483,102,0.07
9585,101,0.17
9687,101,0.00
9789,101,0.08
9891,101,0.11
9993,102,0.15
10095,101,-0.02
10196,100,0.09
10299,101,0.20
10400,100,0.13
10503,102,0.01
10605,101,0.09
10706,100,0.13
10809,102,0.15
10910,100,0.13
11013,102,0.03
11115,101,0.08
11216,101,0.04
11319,102,0.18
11420,100,-0.00
11523,102,0.02
11625,101,0.22
11726,101,0.06
11829,102,0.12
11930,100,0.10
12033,102,0.08
12134,100,0.11
12236,101,0.15
12339,102,0.06
12440,100,0.06
12542,101,0.43
12644,100,1.02
12746,101,0.22
12849,102,0.30
12950,100,0.11
13052,101,0.01
13154,101,0.06
13256,101,0.08
13359,102,-0.03
13460,101,0.06
13562,101,0.03
13664,101,-0.02
13766,101,0.08
13869,102,0.17
13970,101,-0.04
14072,101,-0.10
14174,101,0.04
14276,101,0.06
14377,100,0.01
14480,101,-0.07
14582,101,0.16
14684,101,0.38
14786,101,0.22
14887,100,-0.19
14990,102,0.16
15092,101,-0.04
15194,102,0.03
15296,101,-0.01
15397,100,0.15
15500,102,0.01
15601,100,-0.07
15704,102,0.03
15806,101,-0.04
15907,100,0.12
16010,102,-0.11
16111,100,0.02
16214,102,0.09
16316,101,0.25
16417,101,0.12
16520,102,0.05
16621,100,-0.06
16723,101,0.05
16826,102,0.09
16927,101,-0.01
17030,102,0.09
17131,100,0.03
17233,101,0.04
17335,101,-0.04
